borrower_id,age,gender,state,employment_type,monthly_income_est,bvn_verified,signup_date,acquisition_channel
BRW3C718294,40,M,Kano,Salaried,224194,True,2023-11-24,Referral
BRW0D65B84A,35,M,Rivers,Self-Employed,48331,True,2023-09-09,Organic
BRW98EADAE9,22,M,Enugu,Self-Employed,182853,True,2024-04-08,Agent
BRWDC25B267,48,M,Kano,Salaried,301571,True,2024-02-21,Social Media
BRW732B7E89,20,F,Borno,Salaried,260331,True,2023-04-16,Social Media
BRW8007D976,63,M,Imo,Self-Employed,184714,True,2024-06-01,Social Media
BRWDB59516F,22,M,Oyo,Salaried,426692,False,2024-05-25,Organic
BRW64C001AD,20,F,Kano,Salaried,413281,True,2022-08-03,Referral
BRW46D61CFB,45,F,Kano,Gig Worker,29358,True,2022-09-08,Organic
BRWA93E5B90,28,M,Kaduna,Unemployed,25971,False,2024-03-05,Organic
BRW75527C2C,53,M,Rivers,Gig Worker,72581,False,2023-08-04,Agent
BRW8FB47D24,25,F,Imo,Gig Worker,71856,True,2022-09-29,Organic
BRW0EA987D0,47,F,Plateau,Self-Employed,235825,True,2023-01-06,Organic
BRW26715BAE,64,F,Edo,Self-Employed,63831,True,2023-10-05,Organic
BRWCE284B02,43,M,Enugu,Self-Employed,140864,True,2024-09-21,Social Media
BRW7A9AC5E1,61,F,Anambra,Gig Worker,35014,True,2024-02-27,Referral
BRW2329F6FE,20,M,Katsina,Self-Employed,158940,False,2022-09-27,Agent
BRW51229B62,49,F,Oyo,Self-Employed,67894,False,2023-06-04,Referral
BRWCFB907AF,21,F,Plateau,Gig Worker,90697,True,2022-01-01,Social Media
BRWAF9FCB2D,32,F,Edo,Salaried,270306,True,2022-09-03,Organic
BRW6A56E458,56,F,Borno,Unemployed,7806,True,2022-05-09,Organic
BRWC698AEA1,32,M,Ogun,Self-Employed,109483,True,2022-08-05,Agent
BRW9570C49F,48,M,Imo,Gig Worker,113447,True,2023-03-25,Agent
BRW25F17C31,31,M,Ogun,Salaried,113568,True,2023-08-26,Organic
BRW1DBE5CD0,19,M,Lagos,Self-Employed,100015,False,2022-03-14,Social Media
BRW3EA925E2,24,M,Plateau,Self-Employed,181356,False,2023-08-14,Social Media
BRW94842309,50,M,Imo,Gig Worker,44957,True,2023-03-10,Social Media
BRWFFBC1612,55,Unspecified,Abuja,Salaried,422598,True,2024-01-16,Social Media
BRWA54EBD74,55,M,Kano,Salaried,179724,True,2022-10-13,Social Media
BRW959B6DD3,56,M,Imo,Salaried,368528,False,2024-05-06,Organic
BRW6262EE25,20,M,Enugu,Gig Worker,50982,True,2024-06-04,Social Media
BRW77F96537,19,M,Plateau,Self-Employed,298292,True,2023-04-11,Organic
BRWEF1EB72A,44,F,Katsina,Gig Worker,122676,True,2022-07-14,Organic
BRWCAEB9E39,62,M,Kaduna,Self-Employed,182133,True,2023-08-22,Social Media
BRW9BAD3CF8,59,F,Abuja,Self-Employed,54910,False,2022-03-12,Social Media
BRW789993F1,43,F,Ogun,Salaried,142855,True,2023-09-01,Organic
BRWF9DDF158,20,M,Plateau,Gig Worker,94085,True,2023-11-17,Referral
