borrower_id,score_date,device_type,app_sessions_last_30d,avg_airtime_recharge_ngn,has_prior_loan,prior_loan_default,social_media_linked,contact_list_size
BRW3C718294,2023-08-30,Feature Phone,18,920.66,True,False,True,134
BRW0D65B84A,2022-07-27,iOS,43,4459.04,False,False,False,153
BRW98EADAE9,2023-09-23,Android,48,3139.54,True,False,True,167
BRWDC25B267,2022-10-24,Android,26,2350.63,False,False,True,256
BRW732B7E89,2024-02-09,iOS,4,3538.13,True,True,True,365
BRW8007D976,2022-09-26,iOS,2,240.8,True,False,True,205
BRWDB59516F,2023-06-28,Feature Phone,2,356.66,True,True,False,352
BRW64C001AD,2024-05-18,Android,49,740.63,False,False,True,92
BRW46D61CFB,2022-10-23,Android,19,597.02,False,False,False,205
BRWA93E5B90,2022-12-08,Android,6,824.56,False,True,True,416
BRW75527C2C,2024-03-24,iOS,36,1337.57,True,False,False,170
BRW8FB47D24,2023-02-23,Android,21,3503.25,True,False,True,366
BRW0EA987D0,2024-02-19,Android,26,1585.62,False,False,False,335
BRW26715BAE,2022-11-28,Android,32,4645.7,False,False,False,78
BRWCE284B02,2022-07-31,Feature Phone,42,3658.83,False,True,False,437
BRW7A9AC5E1,2022-06-11,Android,19,1258.03,True,False,True,270
BRW2329F6FE,2024-01-13,Android,28,291.55,False,False,True,306
BRW51229B62,2024-01-11,iOS,35,656.92,False,False,False,36
BRWCFB907AF,2022-08-01,Android,37,388.32,True,True,False,129
BRWAF9FCB2D,2023-08-09,Android,39,364.43,False,False,False,239
BRW6A56E458,2023-11-10,Android,59,225.84,False,False,False,407
BRWC698AEA1,2023-10-09,Android,2,1748.09,False,False,True,38
BRW9570C49F,2024-06-06,iOS,44,4177.49,True,False,True,92
BRW25F17C31,2024-01-13,Android,60,363.78,False,False,False,402
BRW1DBE5CD0,2023-10-19,Android,60,2617.61,False,False,True,341
BRW3EA925E2,2022-12-16,Android,58,4514.41,False,False,False,312
BRW94842309,2023-04-16,Android,7,3947.19,False,False,False,416
BRWFFBC1612,2022-10-23,Feature Phone,2,4478.95,False,False,False,186
BRWA54EBD74,2023-12-12,Android,44,4549.36,True,False,True,268
BRW959B6DD3,2022-08-08,Android,19,4308.68,False,True,True,330
BRW6262EE25,2023-03-17,Android,20,4304.93,False,False,True,362
BRW77F96537,2024-03-05,Android,21,4424.71,True,False,False,90
BRWEF1EB72A,2023-03-14,Android,7,3673.51,False,False,True,242
BRWCAEB9E39,2024-05-13,iOS,7,2366.01,True,False,False,362
