loan_id,borrower_id,disbursement_date,loan_amount_ngn,loan_term_days,interest_rate_pct,credit_score_at_approval,approval_threshold_override,status,due_date
LN57F46A84,BRW3C718294,2024-07-18,38645,7,24.76,723,False,repaid,2024-07-25
LN48E99BF0,BRW0D65B84A,2022-08-01,7812,60,44.01,682,False,repaid,2022-09-30
LN85E26A32,BRW98EADAE9,2022-10-09,38393,30,30.98,833,False,repaid,2022-11-08
LNCC8360C9,BRW98EADAE9,2022-07-02,72241,30,31.94,340,False,repaid,2022-08-01
LN7A61801C,BRWDC25B267,2023-05-16,135745,30,44.13,781,False,repaid,2023-06-15
LN9E6589C6,BRWDC25B267,2024-05-05,41712,30,36.49,801,False,repaid,2024-06-04
LN36F17A81,BRW732B7E89,2024-03-06,22776,14,28.46,631,False,repaid,2024-03-20
LN4143C3C5,BRW8007D976,2024-09-23,49308,30,36.39,734,False,active,2024-10-23
LN56275264,BRWDB59516F,2024-08-30,99799,60,33.6,628,True,active,2024-10-29
LN6D5BF69F,BRWDB59516F,2022-09-29,114757,60,32.91,645,False,repaid,2022-11-28
LNCFB144E8,BRW64C001AD,2023-10-09,42236,60,47.0,560,False,repaid,2023-12-08
LN704C2C55,BRW46D61CFB,2023-07-08,17381,7,25.97,583,False,repaid,2023-07-15
LNA367A34D,BRW46D61CFB,2023-08-12,37083,30,28.84,620,False,repaid,2023-09-11
LN0918B310,BRWA93E5B90,2022-07-26,9605,7,30.7,574,False,written_off,2022-08-02
LN2F2488B9,BRWA93E5B90,2022-07-11,42130,90,24.61,583,False,repaid,2022-10-09
LN7E2EBCEA,BRW75527C2C,2024-07-09,41216,14,46.99,624,False,repaid,2024-07-23
LN597BE5F4,BRW75527C2C,2023-06-28,45389,14,25.39,576,False,repaid,2023-07-12
LN043D20A8,BRW8FB47D24,2023-02-03,15855,30,35.39,303,False,repaid,2023-03-05
LNBAEFA97A,BRW0EA987D0,2023-07-01,20216,30,29.53,754,False,repaid,2023-07-31
LNA20ED8AE,BRW0EA987D0,2024-02-20,6509,60,28.27,803,False,repaid,2024-04-20
LN2AEF071D,BRW26715BAE,2023-11-02,33979,30,29.33,379,False,repaid,2023-12-02
LNF70947A6,BRWCE284B02,2022-12-30,28151,14,44.33,597,False,repaid,2023-01-13
LN9BABFA45,BRWCE284B02,2022-06-25,41917,60,29.43,322,False,repaid,2022-08-24
LN7C1F4F14,BRW7A9AC5E1,2024-06-11,32796,30,25.8,534,False,repaid,2024-07-11
LN656898D7,BRW2329F6FE,2023-01-11,185573,90,40.82,337,False,repaid,2023-04-11
LN7936F8D6,BRW51229B62,2022-11-10,41229,7,43.76,561,False,repaid,2022-11-17
LN08D7604B,BRWCFB907AF,2022-12-08,25420,14,41.49,394,False,repaid,2022-12-22
LN0FF32B6D,BRWAF9FCB2D,2024-06-28,173273,14,36.08,541,True,repaid,2024-07-12
LNB47429C7,BRWAF9FCB2D,2022-08-18,11652,7,23.37,773,False,repaid,2022-08-25
LNA9669C93,BRWAF9FCB2D,2023-11-29,52293,90,19.71,578,False,defaulted,2024-02-27
LN314EE16E,BRW6A56E458,2022-07-20,113420,30,39.31,585,False,repaid,2022-08-19
LNE126C73F,BRWC698AEA1,2022-11-13,7770,30,38.33,594,False,repaid,2022-12-13
LNB0D55410,BRWC698AEA1,2023-07-10,444644,30,39.55,832,False,repaid,2023-08-09
LN8E17DFBE,BRW9570C49F,2024-07-09,93751,14,29.03,429,False,defaulted,2024-07-23
LN87434474,BRW9570C49F,2023-04-02,32027,14,18.48,324,False,repaid,2023-04-16
LNE4EAFB41,BRW25F17C31,2024-03-15,34487,60,32.6,445,True,defaulted,2024-05-14
LN18D97AF2,BRW1DBE5CD0,2023-09-20,18414,30,21.04,352,True,defaulted,2023-10-20
LN9738FCCF,BRW3EA925E2,2023-05-25,163609,30,19.22,663,False,repaid,2023-06-24
LNEE4C5EC0,BRW94842309,2023-10-04,362709,7,34.85,469,True,written_off,2023-10-11
LN82F98B1E,BRW94842309,2022-08-01,19332,7,28.41,713,False,repaid,2022-08-08
LNA8D56B04,BRW94842309,2023-05-01,185528,14,37.99,799,False,repaid,2023-05-15
LN7A6B7849,BRWFFBC1612,2024-07-06,9409,30,22.32,750,False,repaid,2024-08-05
LN72626256,BRWA54EBD74,2022-12-19,30158,7,23.83,345,False,repaid,2022-12-26
LN3FA02BCF,BRWA54EBD74,2024-01-04,161913,14,25.97,515,True,written_off,2024-01-18
LN810DA59C,BRW959B6DD3,2022-08-07,15853,14,39.84,770,False,repaid,2022-08-21
LNBD344F4E,BRW6262EE25,2023-09-24,196426,90,22.67,638,False,repaid,2023-12-23
LN41036FB1,BRW77F96537,2024-06-03,49734,30,46.2,322,False,repaid,2024-07-03
LN5787B5F2,BRW77F96537,2023-04-04,63445,30,24.71,563,False,repaid,2023-05-04
LND756DA22,BRWEF1EB72A,2023-02-10,15043,30,27.94,722,False,repaid,2023-03-12
LN3BA3D5D7,BRWEF1EB72A,2022-08-23,176137,14,22.62,358,False,repaid,2022-09-06
LN79F377D0,BRWCAEB9E39,2022-07-02,29273,30,24.42,803,False,repaid,2022-08-01
LN537AEB0D,BRW9BAD3CF8,2023-01-27,45014,14,21.02,634,False,repaid,2023-02-10
LN8E7FA61F,BRW789993F1,2024-06-25,162340,7,22.0,455,False,defaulted,2024-07-02
LNCB26C82E,BRWF9DDF158,2023-06-11,28412,60,47.65,617,False,defaulted,2023-08-10
LN1A43AB89,BRWF9DDF158,2024-02-20,94548,7,36.46,802,True,repaid,2024-02-27
LN2BBC3907,BRWF9DDF158,2023-11-21,45156,7,33.45,566,True,repaid,2023-11-28
LN64F4EA4E,BRW76E9C179,2023-01-16,153126,60,33.27,784,False,repaid,2023-03-17
LN15434D4F,BRWE9153421,2024-05-23,111637,60,20.38,515,True,defaulted,2024-07-22
LND98E6F74,BRW7BE06FC6,2022-09-29,83059,14,35.38,589,False,repaid,2022-10-13
LNF5FBDDB2,BRW7BE06FC6,2024-06-05,82144,30,32.2,609,False,repaid,2024-07-05
LN4186C40B,BRW28C0B490,2022-11-08,27615,30,31.91,558,False,repaid,2022-12-08
LN6AF28F12,BRWCF38CCA1,2024-08-11,167864,60,40.55,732,False,active,2024-10-10
LN9E22ECDB,BRWCF38CCA1,2024-05-17,15759,14,25.2,642,False,repaid,2024-05-31
LNF864199C,BRWCF38CCA1,2024-02-09,23209,30,42.01,309,False,repaid,2024-03-10
LNE7A0EAD3,BRW83E1DC23,2022-06-03,37838,14,33.86,817,False,repaid,2022-06-17
LN3CF989C9,BRW81F99559,2024-02-17,7583,14,30.22,767,True,repaid,2024-03-02
