repayment_id,loan_id,borrower_id,payment_date,amount_paid_ngn,payment_method,days_past_due,partial_payment
RPY39AF0E4D,LN57F46A84,BRW3C718294,2024-07-12,14564,USSD,0,True
RPY7DA1DC95,LN57F46A84,BRW3C718294,2024-07-27,24081,USSD,4,False
RPY82D9455F,LN48E99BF0,BRW0D65B84A,2022-09-27,7812,Bank Transfer,0,False
RPY4BF83032,LN85E26A32,BRW98EADAE9,2022-11-08,38393,Cash Agent,0,False
RPY2D988101,LNCC8360C9,BRW98EADAE9,2022-08-01,72241,USSD,0,False
RPYCEBF5D5A,LN7A61801C,BRWDC25B267,2023-06-01,68548,Direct Debit,0,True
RPY3A1691ED,LN7A61801C,BRWDC25B267,2023-06-21,67197,USSD,1,False
RPYA0241900,LN9E6589C6,BRWDC25B267,2024-06-02,41712,Bank Transfer,0,False
RPYBD144E47,LN36F17A81,BRW732B7E89,2024-03-20,22776,Cash Agent,0,False
RPY07BD3FB0,LN6D5BF69F,BRWDB59516F,2022-11-25,114757,Bank Transfer,0,False
RPYEA54EBED,LNCFB144E8,BRW64C001AD,2023-12-05,42236,Cash Agent,0,False
RPY495E2E7E,LN704C2C55,BRW46D61CFB,2023-07-15,17381,Cash Agent,0,False
RPYEF8A03B2,LNA367A34D,BRW46D61CFB,2023-09-09,37083,Direct Debit,0,False
RPY7246E6E5,LN2F2488B9,BRWA93E5B90,2022-10-03,18919,USSD,0,True
RPY53C4C9F2,LN2F2488B9,BRWA93E5B90,2022-10-17,23211,Direct Debit,6,False
RPYBD161778,LN7E2EBCEA,BRW75527C2C,2024-07-23,41216,USSD,0,False
RPYB4FF73ED,LN597BE5F4,BRW75527C2C,2023-07-10,45389,Bank Transfer,0,False
RPY36EEB6DB,LN043D20A8,BRW8FB47D24,2023-03-03,15855,Bank Transfer,0,False
RPY08CB472D,LNBAEFA97A,BRW0EA987D0,2023-07-30,20216,Bank Transfer,0,False
RPY8913E6C9,LNA20ED8AE,BRW0EA987D0,2024-04-19,6509,Bank Transfer,0,False
RPY51B1FD9E,LN2AEF071D,BRW26715BAE,2023-12-01,33979,USSD,0,False
RPY99AFD807,LNF70947A6,BRWCE284B02,2023-01-10,28151,Bank Transfer,0,False
RPY264241A7,LN9BABFA45,BRWCE284B02,2022-08-24,41917,Bank Transfer,0,False
RPY26668CBF,LN7C1F4F14,BRW7A9AC5E1,2024-07-10,32796,Direct Debit,0,False
RPYEE531A61,LN656898D7,BRW2329F6FE,2023-04-08,185573,Bank Transfer,0,False
RPY7EA682AF,LN7936F8D6,BRW51229B62,2022-11-17,41229,Bank Transfer,0,False
RPY54D81B42,LN08D7604B,BRWCFB907AF,2022-12-21,25420,Direct Debit,0,False
RPY6617D214,LN0FF32B6D,BRWAF9FCB2D,2024-07-10,173273,Cash Agent,0,False
RPY9A46D4C5,LNB47429C7,BRWAF9FCB2D,2022-08-25,11652,Bank Transfer,0,False
RPY264A4A75,LNA9669C93,BRWAF9FCB2D,2024-03-10,20163,Cash Agent,13,True
RPYD869A904,LN314EE16E,BRW6A56E458,2022-08-18,113420,Direct Debit,0,False
RPY6B9BEC83,LNE126C73F,BRWC698AEA1,2022-12-12,7770,USSD,0,False
RPYAA57C344,LNB0D55410,BRWC698AEA1,2023-08-04,172452,Direct Debit,0,True
RPY424EC648,LNB0D55410,BRWC698AEA1,2023-08-11,272192,Bank Transfer,2,False
RPYBF9E6A1F,LN8E17DFBE,BRW9570C49F,2024-08-02,32015,Bank Transfer,10,True
RPY1B0CDFD1,LN87434474,BRW9570C49F,2023-04-13,32027,Cash Agent,0,False
RPY2C54D576,LN9738FCCF,BRW3EA925E2,2023-06-22,163609,USSD,0,False
RPYDA0E61CD,LN82F98B1E,BRW94842309,2022-08-07,19332,Cash Agent,0,False
RPY48144F65,LNA8D56B04,BRW94842309,2023-04-30,57405,Bank Transfer,0,True
RPY181540C5,LNA8D56B04,BRW94842309,2023-05-22,128123,Direct Debit,5,False
RPYDEE7F416,LN7A6B7849,BRWFFBC1612,2024-08-02,9409,Cash Agent,0,False
RPYEE8D0B19,LN72626256,BRWA54EBD74,2022-12-23,30158,Bank Transfer,0,False
RPYD7C1AE00,LN3FA02BCF,BRWA54EBD74,2024-02-09,41624,USSD,9,True
RPYACB66616,LN810DA59C,BRW959B6DD3,2022-08-19,15853,Direct Debit,0,False
RPY4795E971,LNBD344F4E,BRW6262EE25,2023-12-14,113219,Cash Agent,0,True
RPYEC2CB991,LNBD344F4E,BRW6262EE25,2023-12-31,83207,Bank Transfer,8,False
RPY2C96764F,LN41036FB1,BRW77F96537,2024-07-02,49734,Bank Transfer,0,False
RPYA69DA219,LN5787B5F2,BRW77F96537,2023-05-04,63445,Direct Debit,0,False
RPY9E14772F,LND756DA22,BRWEF1EB72A,2023-03-12,15043,USSD,0,False
RPYA0C42FE5,LN3BA3D5D7,BRWEF1EB72A,2022-09-06,176137,USSD,0,False
RPYFAD57DC3,LN79F377D0,BRWCAEB9E39,2022-07-31,29273,Direct Debit,0,False
RPY3ABF6134,LN537AEB0D,BRW9BAD3CF8,2023-02-09,45014,Cash Agent,0,False
RPY8BF4DFF4,LN1A43AB89,BRWF9DDF158,2024-02-26,94548,Bank Transfer,0,False
RPY7C5D00C2,LN2BBC3907,BRWF9DDF158,2023-11-14,20218,Bank Transfer,0,True
RPYE2E240A6,LN2BBC3907,BRWF9DDF158,2023-12-02,24938,Bank Transfer,4,False
